token,en-US,fr-FR
password_recovery_email_title,SITE_NAME password recovery,Récupération du mot de passe SITE_NAME
user_flow_sms_verif_message,Welcome to SITE_NAME! Your verification code is : {{code}},Bienvenue sur SITE_NAME ! Votre code de vérification est : {{code}}
input_field_email,Email,Email
recover_pwd_email_placeholder,Email,Email
recover_pwd_email_label,Email,Email
user_sms_code,Input code here...,Entrez le code ici...
error_password_not_acceptable,This password is not acceptable.,Ce mot de passe n'est pas acceptable.
email_pwd_reset_notice,"This link will remain valid during the 24 hours following the request. Beyond that period, a new request must be emitted. ","Ce lien restera valide pendant les 24 heures suivant la demande. Au-delà de ce délai, une nouvelle requête doit être émise."
error_name_not_valid,This name is invalid.,
user_sms_phone,International format starting with +,Format international commençant par +
user_oauth_help,Or login using one of the following,Ou connectez-vous en utilisant l'un des éléments suivants
regards,"Best regards,","Coordialement,"
user_sms_check_step1,Please input your phone number below to confirm your account. An SMS will be sent to your phone.,Veuillez entrer votre numéro de téléphone ci-dessous pour confirmer votre compte. Un SMS sera envoyé sur votre téléphone.
user_flow_input_tos,Please review and accept the Terms of Service to validate your account,Veuillez lire et accepter les conditions d'utilisation pour valider votre compte
user_flow_waitlist,Waiting list,Liste d'attente
user_sms_check_step2,"A code has been sent to your phone, please input it below","Un code a été envoyé sur votre téléphone, veuillez le saisir ci-dessous"
user_flow_title,Sign in / Sign up,Connexion / Inscription
user_flow_pending,Thank you for pre-registering for SITE_NAME! Your spot is saved in line and we'll contact you as soon as it's your turn. Your position in line is #%1.,Merci de vous être pré-inscrit à SITE_NAME ! Votre place est enregistrée en ligne et nous vous contacterons dès que ce sera votre tour. Votre position dans la ligne est #%1.
user_email_input_help,"If this is your first time with SITE_NAME, please input your email to create an account. If not, you will be prompted to input your password to log in.","Si c'est la première fois que vous utilisez SITE_NAME, veuillez saisir votre adresse e-mail pour créer un compte. Si ce n'est pas le cas, vous serez invité à entrer votre mot de passe pour vous connecter."
input_field_password,Password,Mot de passe
input_field_reg_password,Password,Mot de passe
error_password_not_same,The passwords are not identical.,Les mots de passe ne sont pas identiques.
recover_pwd_title,Recover your password,Récupérer votre mot de passe
recover_pwd_cta,Recover my password,Récupérer votre mot de passe
email_pwd_reset_text,A request to reset the password of your account has been emitted; please click on the button hereafter to proceed:,Une demande de réinitialisation du mot de passe de votre compte a été émise ; veuillez cliquer sur le bouton ci-après pour continuer :
pwd_recover_confirm,Please check your emails to reset your password.,Veuillez vérifier vos e-mails pour réinitialiser votre mot de passe.
input_field_conf_password,Password confirmation,Confirmation mot de passe
user_flow_input_password,Please input your password,Veuillez entrer votre mot de passe
recover_pwd_link,Password lost?,Mot de passe perdu ?
input_field_reg_name,Your name,Votre nom
user_flow_input_email,Please input your email address to log in,Veuillez saisir votre adresse e-mail pour vous connecter
login_flow_error,An error occurred while your login attempt. If the error persist please contact us.,"Une erreur s'est produite lors de votre tentative de connexion. Si l'erreur persiste, veuillez nous contacter."
error_invalid_login_or_password,Invalid login or password.,Nom d'utilisateur ou mot de passe incorrect.
user_flow_input_otp,One time password validation,Mot de passe  à usage unique
input_field_otp,Enter your one time password,Entrez votre mot de passe à usage unique
user_register_help,Please fill out the following information,Veuillez remplir les informations suivantes
input_field_accept_tos,I accept the Terms of Service,J'accepte les conditions d'utilisation
error_tos_not_accepted,You need to accept the terms of service to proceed.,Vous devez accepter les conditions d'utilisation pour continuer.
cta_login_next,Next,Continuer
profile_upload_image,Upload Image,Télécharger une image
profile_delete_image,Delete Image,Supprimer l'image
user_flow_register,Register New Account,Créer un nouveau compte
cta_login_reset,Reset,
user_waitlist_help,"By joining our waiting list, you have secured your spot for account activation. We are progressively activating accounts, and you will be notified by email as soon as yours is ready. We appreciate your understanding and patience during this process.",
